	mean	Vm_per_gen	Vm_per_median_gen	Vm_per_mut	Vm_per_median_mut	median	abs_mean	abs_median	k0	k4	k0:k4	k0:k4_Group
ChCC-v11000010m.g	-0.5649381863642051	0.0030700405697786	0.0030520347581069	0.0142980779756652	0.0180054447800728	-0.975070920903773	0.5649381863642051	0.975070920903773				
ChCC-v11000011m.g	-0.03154754585210913	0.00348429582169	0.0034638603997639	0.0162273859958801	0.0204350055280876	-0.575153833525629	0.03154754585210913	0.575153833525629	0.3493376716913434	0.5829041126751264	0.5993055531691572	(0.4, 0.8]
ChCC-v11000015m.g	-0.573850263742311	0.0036450896316993	0.0036237111528346	0.0169762498565563	0.0213780432506504	-0.704398145137084	0.573850263742311	0.704398145137084	0.1299947973434218	0.3171426381150252	0.40989378822116523	(0.4, 0.8]
ChCC-v11000021m.g	-0.37532688949266163	0.0033849963813292	0.0033651433513883	0.0157649194228987	0.0198526254098214	0.291373344686709	0.37532688949266163	0.291373344686709	0.1182682558641064	0.4436755408065186	0.2665647415431488	(0.0, 0.4]
ChCC-v11000022m.g	0.33929042907656276	0.0005874351989905	0.0005839898870078	0.0027358577484279	0.0034452417799995	0.246431161695486	0.33929042907656276	0.246431161695486	0.0521949688493964	0.2560670563358018	0.20383320524038379	(0.0, 0.4]
ChCC-v11000023m.g	0.6081355502377095	0.0011263670384359	0.0011197608870492	0.0052458211475482	0.0066060167778546	0.751122880304555	0.6081355502377095	0.751122880304555	0.0469426932917326	0.3164730806161496	0.1483307622889715	(0.0, 0.4]
ChCC-v11000027m.g	0.26941543293986653	0.0009986013945099	0.0009927445896124	0.0046507791284142	0.0058566855575622	0.435920938247493	0.26941543293986653	0.435920938247493	0.0679647491445242	0.2004860772205104	0.3389998452100552	(0.0, 0.4]
ChCC-v11000028m.g	0.5700678246422034	0.0013222595543777	0.0013145044918709	0.0061581499601894	0.0077549044874641	0.457394549541322	0.5700678246422034	0.457394549541322	0.0551083652911979	0.3402108390043102	0.1619829792974342	(0.0, 0.4]
ChCC-v11000029m.g	0.8590708995786256	0.0016205903947061	0.0016110856195147	0.0075475640479217	0.0095045815192929	0.878194114707079	0.8590708995786256	0.878194114707079	0.0272580292085075	0.2138260693937169	0.12747757691938594	(0.0, 0.4]
ChCC-v11000032m.g	0.7300187853304713	0.0037405374534488	0.0037185991723718	0.017420778313742	0.0219378340562853	0.876405635886981	0.7300187853304713	0.876405635886981	0.1013732205337027	0.2988059368486242	0.33926106556931834	(0.0, 0.4]
ChCC-v11000033m.g	-0.4806094300063721	0.0010057395328975	0.0009998408627632	0.0046840235292446	0.0058985499413219	-0.368165941647167	0.4806094300063721	0.368165941647167	0.2615513083043738	0.4461686178943979	0.5862162819489906	(0.4, 0.8]
ChCC-v11000035m.g	0.12556717679476187	0.0019266373607998	0.0019153376177868	0.0089729143929628	0.0112995127662462	0.0542022683401428	0.12556717679476187	0.0542022683401428	0.0276137384518273	0.2148463620349137	0.12852783817368021	(0.0, 0.4]
ChCC-v11000037m.g	0.14527593168220548	0.0006440155580609	0.0006402384018349	0.0029993690498236	0.0037770792615325	0.150157663822532	0.14527593168220548	0.150157663822532	0.063031143927092	0.2420800441972882	0.26037315110420023	(0.0, 0.4]
ChCC-v11000040m.g	0.14077851973752553	0.0007580351721134	0.0007535892899698	0.0035303917823982	0.0044457915531151	0.130413062156462	0.14077851973752553	0.130413062156462	0.2340314393357344	0.6455459976491432	0.36253255412936725	(0.0, 0.4]
ChCC-v11000042m.g	0.47106667078201625	0.0010490338097824	0.0010428812183795	0.0048856576551562	0.0061524660359227	0.332697269877147	0.47106667078201625	0.332697269877147	0.2152876805630406	0.5275685724886391	0.4080752565443551	(0.4, 0.8]
ChCC-v11000046m.g	0.2857255383075804	0.0022894439837642	0.0022760163771031	0.0106626110817614	0.013427333056289	0.356055576835169	0.2857255383075804	0.356055576835169				
ChCC-v11000048m.g	-0.08646039245408911	0.0021374895310696	0.0021249531384482	0.0099549146966504	0.0125361371763351	-0.284349795099207	0.08646039245408911	0.284349795099207	0.0357210367419409	0.1367411675954659	0.2612310350282935	(0.0, 0.4]
ChCC-v11000049m.g	0.0796155237009864	0.0003579623035973	0.0003558628519198	0.0016671352748776	0.0020994088984413	0.0866452885736904	0.0796155237009864	0.0866452885736904	0.0151903926783732	0.1281799451667729	0.11850834121210788	(0.0, 0.4]
ChCC-v11000051m.g	-0.565320544339281	0.002853141525183	0.0028364078280844	0.0132879156074533	0.0167333561279684	0.0	0.565320544339281	0.0	0.3348009696287176	0.5031930328314262	0.6653529516194209	(0.4, 0.8]
ChCC-v11000056m.g	-0.056468890855428944	0.0013772363235561	0.0013691588218731	0.0064141928738565	0.0080773370935255	-0.162628823708109	0.056468890855428944	0.162628823708109	0.044824658797398	0.2015422437818774	0.22240825524355212	(0.0, 0.4]
ChCC-v11000058m.g	0.5356954027168414	0.0010780500689061	0.0010717272969192	0.0050207948711254	0.0063226431523161	0.599211548004018	0.5356954027168414	0.599211548004018	0.4115859512700597	0.7354809490637653	0.5596147008212659	(0.4, 0.8]
ChCC-v11000060m.g	0.8193404056381866	0.0051566917733651	0.0051264477362556	0.0240162236935402	0.0302434208483043	0.353901837053888	0.8193404056381866	0.353901837053888	0.218789414729064	0.4426799260023129	0.4942383918441354	(0.4, 0.8]
ChCC-v11000066m.g	0.9014041526462084	0.0034411387764122	0.0034209564708902	0.01602639099775	0.0201818942815227	0.741714890111409	0.9014041526462084	0.741714890111409	0.2627985659502275	0.5054510944000927	0.5199287702841687	(0.4, 0.8]
ChCC-v11000067m.g	-0.45386333693308	0.0016235063982245	0.00161398452065	0.0075611447302405	0.0095216835539848	-0.45202517923853	0.45386333693308	0.45202517923853	0.1096524184643661	0.3083561745847271	0.35560312230503716	(0.0, 0.4]
ChCC-v11000068m.g	-0.1681749101413894	0.000783546193766	0.0007789506892831	0.0036492040809773	0.0045954108435471	-0.258530095486736	0.1681749101413894	0.258530095486736	0.0873664028203032	0.2656288602904604	0.32890403070197116	(0.0, 0.4]
ChCC-v11000071m.g	1.002964535205424	0.0050479919225807	0.0050183854109362	0.0235099766563646	0.0296059083736588	1.17879904486635	1.002964535205424	1.17879904486635	0.1389903998076363	0.5138668918459833	0.2704793829163344	(0.0, 0.4]
ChCC-v11000075m.g	0.5053912449144659	0.0010995591313533	0.0010931102085489	0.0051209688737368	0.0064487913993384	0.373024813192563	0.5053912449144659	0.373024813192563	0.0936865756936231	0.2842037653310519	0.3296457933430024	(0.0, 0.4]
ChCC-v11000079m.g	1.3102304301910643	0.0068525775307489	0.006812387110564	0.0319144602952286	0.0401896012533692	1.12097967634822	1.3102304301910643	1.12097967634822	0.2879028289700283	0.6188060427018699	0.46525536129700484	(0.4, 0.8]
ChCC-v11000081m.g	-0.5239746415830153	0.0018373804842915	0.0018266042335491	0.0085572189807449	0.0107760311624419	-0.253989145152666	0.5239746415830153	0.253989145152666	0.2009601212475361	0.3840062670112801	0.5233251082374469	(0.4, 0.8]
ChCC-v11000082m.g	1.092791291537926	0.0061276150890936	0.0060916765792326	0.0285380979037166	0.0359377775676017	0.777251413913015	1.092791291537926	0.777251413913015				
ChCC-v11000084m.g	0.681274593797937	0.0027380635876071	0.0027220048235019	0.0127519639523068	0.0160584368872178	0.624541490195426	0.681274593797937	0.624541490195426				
ChCC-v11000086m.g	-0.8853349139012383	0.0031913227732258	0.0031726056404934	0.0148629247138547	0.0187167513466606	-0.587567861405678	0.8853349139012383	0.587567861405678				
ChCC-v11000091m.g	0.15750679125494435	0.0004746676782801	0.000471883748678	0.0022106663812155	0.0027838728759127	-0.0203890384744725	0.15750679125494435	0.0203890384744725	0.0611565249435153	0.1971647994485389	0.3101797334745723	(0.0, 0.4]
ChCC-v11000101m.g	0.7567464200837077	0.0015716598788052	0.0015624420814679	0.0073196803063755	0.0092176095128687	0.749880316596917	0.7567464200837077	0.749880316596917	0.128818558713289	0.4390825286281088	0.2933811990100724	(0.0, 0.4]
ChCC-v11000102m.g	-0.36243561450585	0.0004848867320217	0.0004820428675905	0.0022582595070764	0.0028438064838464	-0.303953631582595	0.36243561450585	0.303953631582595	0.022750559511391	0.4149194923774888	0.05483126227941302	(0.0, 0.4]
ChCC-v11000104m.g	0.6991003765286614	0.003402735244319	0.0033827781758096	0.0158475345025577	0.01995666185845	0.875965796772942	0.6991003765286614	0.875965796772942	0.0309721427790179	0.499549666467956	0.06200012703042137	(0.0, 0.4]
ChCC-v11000108m.g	0.12504101534052275	0.0003710637110425	0.0003688874195091	0.0017281523660153	0.0021762471886641	0.104338509929534	0.12504101534052275	0.104338509929534	0.0761848446134401	0.3203236525976928	0.23783708756943928	(0.0, 0.4]
ChCC-v11000109m.g	0.2795010183391583	0.0009320530731024	0.0009265865746243	0.0043408441073592	0.005466387091117	0.368711545005732	0.2795010183391583	0.368711545005732				
ChCC-v11000112m.g	-0.5777726495788669	0.0010934512895429	0.0010870381892779	0.0050925228657824	0.0064129695898401	-0.459004770915019	0.5777726495788669	0.459004770915019	0.1625091987136123	0.4003218068318166	0.4059464059670518	(0.4, 0.8]
ChCC-v11000113m.g	-0.9856407853935589	0.0042942071986181	0.0042690216402061	0.0199993804557224	0.0251850452238441	-0.58349490228911	0.9856407853935589	0.58349490228911				
